item,itemLabel,firstReleased,_image
http://www.wikidata.org/entity/Q116187,Thieves and Robbers,1983-02-11T00:00:00Z,
http://www.wikidata.org/entity/Q180638,Odds and Evens,1978-10-28T00:00:00Z,
http://www.wikidata.org/entity/Q231967,A Friend Is a Treasure,1981-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q232044,"All the Way, Boys",1972-12-22T00:00:00Z,
http://www.wikidata.org/entity/Q232083,Two Missionaries,1974-12-21T00:00:00Z,
http://www.wikidata.org/entity/Q232166,Crime Busters,1977-04-01T00:00:00Z,
http://www.wikidata.org/entity/Q232175,Go for It,1983-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q232261,"Watch Out, We're Mad!",1974-03-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Altrimenti%20ci%20arrabbiamo.png
http://www.wikidata.org/entity/Q324529,Beyond the Law,1968-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q473803,Lo chiamavano Bulldozer,1978-10-05T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sie%20nannten%20ihn%20muecke.svg
http://www.wikidata.org/entity/Q473829,Troublemakers,1994-12-22T00:00:00Z,
http://www.wikidata.org/entity/Q548277,Charleston,1977-03-05T00:00:00Z,
http://www.wikidata.org/entity/Q555722,Boot Hill,1969-12-20T00:00:00Z,
http://www.wikidata.org/entity/Q558927,Superfantagenio,1986-12-23T00:00:00Z,
http://www.wikidata.org/entity/Q587854,Flatfoot in Egypt,1980-03-01T00:00:00Z,
http://www.wikidata.org/entity/Q589001,Trinity Is Still My Name,1971-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q596199,Banana Joe,1982-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Banana%20joe.svg
http://www.wikidata.org/entity/Q597579,Double Trouble,1984-10-19T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/2senza4%20incontro.png
http://www.wikidata.org/entity/Q598709,They Call Me Trinity,1970-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/They%20Call%20Me%20Trinity%20italian%20title%20card.png
http://www.wikidata.org/entity/Q622201,Four Flies on Grey Velvet,1971-12-17T00:00:00Z,
http://www.wikidata.org/entity/Q638356,"A Reason to Live, a Reason to Die",1972-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q668928,The Sheriff and the Satellite Kid,1979-08-10T00:00:00Z,
http://www.wikidata.org/entity/Q694040,Flatfoot in Africa,1978-03-22T00:00:00Z,
http://www.wikidata.org/entity/Q758591,Even Angels Eat Beans,1973-03-22T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Auch%20die%20engel%20essen%20bohnen.svg
