item,itemLabel
http://www.wikidata.org/entity/Q17040489,O Ornitólogo
http://www.wikidata.org/entity/Q17416710,Tulip Fever
http://www.wikidata.org/entity/Q17619306,I Am Michael
http://www.wikidata.org/entity/Q18517234,Andiamo a quel paese
http://www.wikidata.org/entity/Q18639593,On the Milky Road
http://www.wikidata.org/entity/Q1213356,Dragon Gate Inn
http://www.wikidata.org/entity/Q4633009,2:22
http://www.wikidata.org/entity/Q7280392,Radical
http://www.wikidata.org/entity/Q6458426,Krystal
http://www.wikidata.org/entity/Q10878601,Move On
http://www.wikidata.org/entity/Q10357564,8 hlav šílenství
http://www.wikidata.org/entity/Q11480962,Teiichi no Kuni
http://www.wikidata.org/entity/Q11608679,Beautiful Star
http://www.wikidata.org/entity/Q12049257,Resident Evil: The Final Chapter
http://www.wikidata.org/entity/Q7396626,Sacco and Vanzetti
http://www.wikidata.org/entity/Q15712110,Jigsaw
http://www.wikidata.org/entity/Q3280057,Jeepers Creepers 3
http://www.wikidata.org/entity/Q16324131,The Man
http://www.wikidata.org/entity/Q16635665,Fallen
http://www.wikidata.org/entity/Q15053900,Basmati Blues
http://www.wikidata.org/entity/Q17560903,Stuck
http://www.wikidata.org/entity/Q17068577,Max Steel
http://www.wikidata.org/entity/Q4901654,Bheja Fry 3
http://www.wikidata.org/entity/Q17004445,Bitter Harvest
http://www.wikidata.org/entity/Q4984287,Golmaal
http://www.wikidata.org/entity/Q17068202,Darna
http://www.wikidata.org/entity/Q16249931,Division 19
http://www.wikidata.org/entity/Q18149766,Eye in the Sky
http://www.wikidata.org/entity/Q18588971,Rangoon
http://www.wikidata.org/entity/Q18361441,The Crash
http://www.wikidata.org/entity/Q16693969,The Traitor
http://www.wikidata.org/entity/Q17097518,The Gettysburg Address
http://www.wikidata.org/entity/Q18811634,Silence
http://www.wikidata.org/entity/Q18170225,Nephilim
http://www.wikidata.org/entity/Q18153040,The Outcasts
http://www.wikidata.org/entity/Q19269903,Double Trouble
http://www.wikidata.org/entity/Q18811617,American Made
http://www.wikidata.org/entity/Q18654538,The Big Call
http://www.wikidata.org/entity/Q19572469,Chasing the Dragon
http://www.wikidata.org/entity/Q18150704,The Hollars
http://www.wikidata.org/entity/Q18170296,An Insignificant Man
http://www.wikidata.org/entity/Q7162528,Pendulum Drift
http://www.wikidata.org/entity/Q18388171,Kidnap
http://www.wikidata.org/entity/Q18703016,Beta Test
http://www.wikidata.org/entity/Q11388144,My Teacher
http://www.wikidata.org/entity/Q19587336,The Great Wall
http://www.wikidata.org/entity/Q15732537,Splinter Cell
http://www.wikidata.org/entity/Q14541802,Little Crusader
http://www.wikidata.org/entity/Q18393909,The Veil
http://www.wikidata.org/entity/Q18703023,Eloise
http://www.wikidata.org/entity/Q16950635,Como se Tornar o Pior Aluno da Escola
http://www.wikidata.org/entity/Q17062473,Kalpvriksh
http://www.wikidata.org/entity/Q18633732,The Unknown Soldier
http://www.wikidata.org/entity/Q18164659,Yalghaar
http://www.wikidata.org/entity/Q18170400,Secret Treasure
http://www.wikidata.org/entity/Q18684590,"The First, the Last"
http://www.wikidata.org/entity/Q18811589,Beyond Skyline
http://www.wikidata.org/entity/Q10855725,"I, Olga Hepnarová"
http://www.wikidata.org/entity/Q339907,18 Days
http://www.wikidata.org/entity/Q1311890,About Elly
http://www.wikidata.org/entity/Q16939122,Monster Trucks
http://www.wikidata.org/entity/Q4837390,Baba Sathya Sai
http://www.wikidata.org/entity/Q17382556,The Grump
http://www.wikidata.org/entity/Q5760588,Hikk Naal
http://www.wikidata.org/entity/Q5963898,A Respected Family
http://www.wikidata.org/entity/Q18342910,Geostorm
http://www.wikidata.org/entity/Q18674502,The Distinguished Citizen
http://www.wikidata.org/entity/Q18703893,Lost in Florence
http://www.wikidata.org/entity/Q18200409,A Monster Calls
http://www.wikidata.org/entity/Q16526429,American Pastoral
http://www.wikidata.org/entity/Q13158085,Athiratha
http://www.wikidata.org/entity/Q16254633,Taramani
http://www.wikidata.org/entity/Q4993374,Shady Talez
http://www.wikidata.org/entity/Q16056821,102 Not Out
http://www.wikidata.org/entity/Q16321604,Kick Ball
http://www.wikidata.org/entity/Q17012395,Newton's Grace
http://www.wikidata.org/entity/Q17151200,Ek Thi Rani Aisi Bhi
http://www.wikidata.org/entity/Q18126480,Kalaberake
http://www.wikidata.org/entity/Q950586,Dark Blood
http://www.wikidata.org/entity/Q18703193,Moonwalkers
http://www.wikidata.org/entity/Q13897247,Baahubali: The Beginning
http://www.wikidata.org/entity/Q15407746,Queen of the Desert
http://www.wikidata.org/entity/Q5580865,Golmaal Again
http://www.wikidata.org/entity/Q17150575,Blood Father
http://www.wikidata.org/entity/Q18486021,Star Wars: Episode VIII – The Last Jedi
http://www.wikidata.org/entity/Q18644475,Bleed for This
http://www.wikidata.org/entity/Q12130601,Song to Song
http://www.wikidata.org/entity/Q12413567,Anurakthi
http://www.wikidata.org/entity/Q14755446,Parinaz
http://www.wikidata.org/entity/Q5559702,Gidh
http://www.wikidata.org/entity/Q6465562,The Morals Of Slaves
http://www.wikidata.org/entity/Q17081711,Snap Shot
http://www.wikidata.org/entity/Q10350033,Pirates of the Caribbean: Dead Men Tell No Tales
http://www.wikidata.org/entity/Q3126727,Hands of Stone
http://www.wikidata.org/entity/Q3204664,L'ordine delle cose
http://www.wikidata.org/entity/Q15223616,Kalavaadiya Pozhuthugal
http://www.wikidata.org/entity/Q4997970,Bunyan and Babe
http://www.wikidata.org/entity/Q16243464,Bank Chor
http://www.wikidata.org/entity/Q17476653,Amityville: The Awakening
http://www.wikidata.org/entity/Q18703104,Mr. Church
http://www.wikidata.org/entity/Q18713033,Hunter's Prayer
http://www.wikidata.org/entity/Q13499767,Tad the Lost Explorer and the Secret of King Midas
http://www.wikidata.org/entity/Q16252340,Last Days in the Desert
http://www.wikidata.org/entity/Q16734412,A Girl at My Door
http://www.wikidata.org/entity/Q17028317,Rules Don't Apply
http://www.wikidata.org/entity/Q19473371,Q19473371
http://www.wikidata.org/entity/Q19742713,Guardians
http://www.wikidata.org/entity/Q19757544,Spark
http://www.wikidata.org/entity/Q19954477,Grain
http://www.wikidata.org/entity/Q19363956,Unlocked
http://www.wikidata.org/entity/Q20434870,Enclave
http://www.wikidata.org/entity/Q20026854,Leatherface
http://www.wikidata.org/entity/Q19571121,Brimstone
http://www.wikidata.org/entity/Q20649561,Rangoon
http://www.wikidata.org/entity/Q20502242,Wonder Woman
http://www.wikidata.org/entity/Q20649346,Gold
http://www.wikidata.org/entity/Q20650048,Wilson
http://www.wikidata.org/entity/Q20968495,Viking
http://www.wikidata.org/entity/Q19897965,Renegades
http://www.wikidata.org/entity/Q19881294,The Layover
http://www.wikidata.org/entity/Q20713364,Stratton
http://www.wikidata.org/entity/Q20649766,Indignation
http://www.wikidata.org/entity/Q20650539,Box
http://www.wikidata.org/entity/Q20716882,Shot Caller
http://www.wikidata.org/entity/Q20649262,Sleepless
http://www.wikidata.org/entity/Q19427405,The Blackcoat's Daughter
http://www.wikidata.org/entity/Q19365645,Agnus Dei
http://www.wikidata.org/entity/Q20751322,Frenzy
http://www.wikidata.org/entity/Q19868132,Stephanie
http://www.wikidata.org/entity/Q19800919,My Mother
http://www.wikidata.org/entity/Q19866947,Rings
http://www.wikidata.org/entity/Q19880691,Keeping Up with the Joneses
http://www.wikidata.org/entity/Q20026847,Hell or High Water
http://www.wikidata.org/entity/Q20165833,Aloko Udapadi
http://www.wikidata.org/entity/Q20711555,The Sound
