person,personLabel,died,sitelinks
http://www.wikidata.org/entity/Q17714,Stephen Hawking,2018-03-14T00:00:00Z,191
http://www.wikidata.org/entity/Q23505,George H. W. Bush,2018-11-30T00:00:00Z,187
http://www.wikidata.org/entity/Q1254,Kofi Annan,2018-08-18T00:00:00Z,165
http://www.wikidata.org/entity/Q10390,John McCain,2018-08-25T00:00:00Z,127
http://www.wikidata.org/entity/Q125121,Aretha Franklin,2018-08-16T00:00:00Z,108
http://www.wikidata.org/entity/Q44593,V. S. Naipaul,2018-08-11T00:00:00Z,107
http://www.wikidata.org/entity/Q181659,Ursula K. Le Guin,2018-01-22T00:00:00Z,101
http://www.wikidata.org/entity/Q181900,Stan Lee,2018-11-12T00:00:00Z,95
http://www.wikidata.org/entity/Q1785,Charles Aznavour,2018-10-01T00:00:00Z,95
http://www.wikidata.org/entity/Q426582,Anthony Bourdain,2018-06-08T00:00:00Z,91
http://www.wikidata.org/entity/Q187019,Philip Roth,2018-05-22T00:00:00Z,89
http://www.wikidata.org/entity/Q233289,Atal Bihari Vajpayee,2018-08-16T00:00:00Z,88
http://www.wikidata.org/entity/Q505476,Avicii,2018-04-20T00:00:00Z,87
http://www.wikidata.org/entity/Q318750,Stephen Hillenburg,2018-11-26T00:00:00Z,82
http://www.wikidata.org/entity/Q151435,Montserrat Caballé,2018-10-06T00:00:00Z,82
http://www.wikidata.org/entity/Q162005,Paul G. Allen,2018-10-15T00:00:00Z,82
http://www.wikidata.org/entity/Q1262052,Jamal Khashoggi,2018-10-02T00:00:00Z,79
http://www.wikidata.org/entity/Q51525,Miloš Forman,2018-04-13T00:00:00Z,79
http://www.wikidata.org/entity/Q53009,Bernardo Bertolucci,2018-11-26T00:00:00Z,78
http://www.wikidata.org/entity/Q962283,Stefán Karl Stefánsson,2018-08-21T00:00:00Z,77
http://www.wikidata.org/entity/Q541599,Dolores O'Riordan,2018-01-15T00:00:00Z,76
http://www.wikidata.org/entity/Q213550,Billy Graham,2018-02-21T00:00:00Z,75
http://www.wikidata.org/entity/Q57120,Peter Grünberg,2018-04-07T00:00:00Z,74
http://www.wikidata.org/entity/Q186481,Riccardo Giacconi,2018-12-09T00:00:00Z,73
http://www.wikidata.org/entity/Q92614,Douglas Engelbart,2018-07-02T00:00:00Z,71
http://www.wikidata.org/entity/Q192695,Leon M. Lederman,2018-10-03T00:00:00Z,70
http://www.wikidata.org/entity/Q7833292,Trần Đại Quang,2018-09-21T00:00:00Z,70
http://www.wikidata.org/entity/Q190628,Barbara Bush,2018-04-17T00:00:00Z,70
http://www.wikidata.org/entity/Q202148,Burt Reynolds,2018-09-06T00:00:00Z,68
http://www.wikidata.org/entity/Q270691,Sridevi,2018-02-24T00:00:00Z,68
http://www.wikidata.org/entity/Q64188,Roy J. Glauber,2018-12-26T00:00:00Z,67
http://www.wikidata.org/entity/Q16389,Charles K. Kao,2018-09-23T00:00:00Z,67
http://www.wikidata.org/entity/Q216932,Ingvar Kamprad,2018-01-27T00:00:00Z,67
http://www.wikidata.org/entity/Q208258,France Gall,2018-01-07T00:00:00Z,65
http://www.wikidata.org/entity/Q151872,Amos Oz,2018-12-28T00:00:00Z,64
http://www.wikidata.org/entity/Q201470,Richard E. Taylor,2018-02-22T00:00:00Z,63
http://www.wikidata.org/entity/Q190626,Aaron Klug,2018-11-20T00:00:00Z,62
http://www.wikidata.org/entity/Q192106,Burton Richter,2018-07-18T00:00:00Z,62
http://www.wikidata.org/entity/Q57762,Morgan Tsvangirai,2018-02-14T00:00:00Z,61
http://www.wikidata.org/entity/Q202449,David Ogden Stiers,2018-03-03T00:00:00Z,60
http://www.wikidata.org/entity/Q237659,Penny Marshall,2018-12-17T00:00:00Z,59
http://www.wikidata.org/entity/Q28561969,XXXTentacion,2018-06-18T00:00:00Z,59
